epoch,train_loss,train_acc,test_loss,test_acc,test_f1,test_recall,test_precision
1,0.1166,95.0,0.1168643274422569,96.44602398933807,0.9650346767039332,0.9644602398933808,0.96655007791861
2,0.0697,97.14,0.1122044004344923,95.44202576632608,0.9555573936531184,0.9544202576632608,0.9589911200993188
3,0.0574,97.6,0.11534065299047,95.8507330075522,0.9597574422909017,0.958507330075522,0.9644869882488876
4,0.0485,98.0,0.061341672930041,97.73434029320302,0.977553377696332,0.9773434029320304,0.978071504169886
5,0.0427,98.24,0.0726661092733047,97.61883607285652,0.976489690053946,0.9761883607285652,0.9773727616214676
6,0.0295,98.76,0.0470888656027456,98.29409151488228,0.9831029168346496,0.9829409151488228,0.9835926558807256
7,0.0217,99.13,0.0909628348590232,97.24566859173702,0.973045229020976,0.97245668591737,0.9753498559623928
8,0.0208,99.15,0.0714726202346651,97.76988005330963,0.9780122707698962,0.9776988005330964,0.979050354133686
9,0.018,99.23,0.0522756356029002,98.67614393602842,0.9867862745323402,0.9867614393602844,0.9868236127460556
10,0.0157,99.36,0.0684832334426442,98.1697023545091,0.9817971227326732,0.981697023545091,0.9820038323338472
11,0.0115,99.52,0.0574766678914036,98.6406041759218,0.9864814570992444,0.986406041759218,0.9866677155718294
12,0.0088,99.65,0.0522384369724873,98.58729453576188,0.9859062982579718,0.9858729453576188,0.9859594530174282
13,0.0104,99.62,0.0564121615907025,98.49844513549534,0.985005310846939,0.9849844513549534,0.9850329877393522
14,0.0081,99.69,0.0611550492877319,98.49844513549534,0.9850295684876358,0.9849844513549534,0.9851067775986556
