epoch,train_loss,train_acc,test_acc,test_f1,test_recall,test_precision,test_loss
1,0.1166,95.0,95.21354933726067,0.9527873018833697,0.9521354933726067,0.9543935428931261,0.0
2,0.0697,97.14,92.96759941089839,0.9322786769073087,0.9296759941089838,0.9431444088833668,0.0
3,0.0574,97.6,93.44624447717231,0.9368075914966206,0.9344624447717231,0.9468405444037059,0.0
4,0.0485,98.0,96.68630338733432,0.9673453355235666,0.9668630338733432,0.9689543855098214,0.0
5,0.0427,98.24,96.02356406480118,0.9610648086548867,0.9602356406480118,0.9642853229270908,0.0
6,0.0295,98.76,97.71723122238586,0.9774397383261352,0.9771723122238586,0.9784368005857683,0.0
7,0.0217,99.13,95.47128129602356,0.9559676783076684,0.9547128129602357,0.9616437318630203,0.0
8,0.0208,99.15,96.64948453608247,0.9671716109124062,0.9664948453608248,0.9701057033282073,0.0
9,0.018,99.23,98.01178203240059,0.9802426799265108,0.9801178203240059,0.9805714266061943,0.0
10,0.0157,99.36,97.86450662739323,0.9787683024816329,0.9786450662739322,0.9790627436284651,0.0
11,0.0115,99.52,98.15905743740795,0.9817247903790652,0.9815905743740795,0.9821361645440794,0.0
12,0.0088,99.65,98.26951399116346,0.982772784699473,0.9826951399116347,0.9829539178994203,0.0
13,0.0104,99.62,97.86450662739323,0.9787353582747211,0.9786450662739322,0.9789167450060321,0.0
14,0.0081,99.69,98.15905743740795,0.9816873929316164,0.9815905743740795,0.9819267364180412,0.0
