FileName,Relative_Path,Crop,SubType,Ground_Truth,Model_Prediction,Confidence
Healthy_Leaf_1617.jpg,RAW_DATA\01_Chilli\abiotic\Healthy_Leaf\Healthy_Leaf_1617.jpg,Chilli,Healthy_Leaf,Abiotic,Biotic,1.0000
Healthy_Leaf_994.png,RAW_DATA\01_Chilli\abiotic\Healthy_Leaf\Healthy_Leaf_994.png,Chilli,Healthy_Leaf,Abiotic,Biotic,1.0000
Bacterial_Spot_1106.jpg,RAW_DATA\01_Chilli\biotic\Bacterial_Spot\Bacterial_Spot_1106.jpg,Chilli,Bacterial_Spot,Biotic,Abiotic,0.9907
Bacterial_Spot_1484.jpg,RAW_DATA\01_Chilli\biotic\Bacterial_Spot\Bacterial_Spot_1484.jpg,Chilli,Bacterial_Spot,Biotic,Abiotic,0.9016
Bacterial_Spot_252.png,RAW_DATA\01_Chilli\biotic\Bacterial_Spot\Bacterial_Spot_252.png,Chilli,Bacterial_Spot,Biotic,Abiotic,0.9840
Bacterial_Spot_695.jpg,RAW_DATA\01_Chilli\biotic\Bacterial_Spot\Bacterial_Spot_695.jpg,Chilli,Bacterial_Spot,Biotic,Abiotic,0.5019
Cercospora Leaf Spot_1775.jpg,RAW_DATA\01_Chilli\biotic\Cercospora_Leaf_Spot\Cercospora Leaf Spot_1775.jpg,Chilli,Cercospora_Leaf_Spot,Biotic,Abiotic,0.8017
Cercospora Leaf Spot_1794.jpg,RAW_DATA\01_Chilli\biotic\Cercospora_Leaf_Spot\Cercospora Leaf Spot_1794.jpg,Chilli,Cercospora_Leaf_Spot,Biotic,Abiotic,0.5023
Cercospora Leaf Spot_1803.jpg,RAW_DATA\01_Chilli\biotic\Cercospora_Leaf_Spot\Cercospora Leaf Spot_1803.jpg,Chilli,Cercospora_Leaf_Spot,Biotic,Abiotic,0.9681
Cercospora Leaf Spot_1848.jpg,RAW_DATA\01_Chilli\biotic\Cercospora_Leaf_Spot\Cercospora Leaf Spot_1848.jpg,Chilli,Cercospora_Leaf_Spot,Biotic,Abiotic,0.9985
Cercospora Leaf Spot_1869.jpg,RAW_DATA\01_Chilli\biotic\Cercospora_Leaf_Spot\Cercospora Leaf Spot_1869.jpg,Chilli,Cercospora_Leaf_Spot,Biotic,Abiotic,0.8799
Curl Virus_356.jpg,RAW_DATA\01_Chilli\biotic\Curl_Virus\Curl Virus_356.jpg,Chilli,Curl_Virus,Biotic,Abiotic,0.8870
