Crop,Ground_Truth,Prediction,Path
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Healthy_Leaf\Healthy_Leaf_1552.jpg
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Healthy_Leaf\Healthy_Leaf_1617.jpg
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Healthy_Leaf\Healthy_Leaf_775.jpg
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Healthy_Leaf\Healthy_Leaf_994.png
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Bacterial_Spot\Bacterial_Spot_1106.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Bacterial_Spot\Bacterial_Spot_1484.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Bacterial_Spot\Bacterial_Spot_593.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Bacterial_Spot\Bacterial_Spot_682.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Cercospora_Leaf_Spot\Cercospora Leaf Spot_1803.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Cercospora_Leaf_Spot\Cercospora Leaf Spot_1848.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Cercospora_Leaf_Spot\Cercospora Leaf Spot_1869.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Curl_Virus\Curl Virus_166.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Curl_Virus\Curl Virus_172.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Curl_Virus\Curl Virus_356.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Curl_Virus\Curl Virus_457.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_121.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_211.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_224.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_232.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_233.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_247.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_369.jpg
