Crop,Ground_Truth,Prediction,Path
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Healthy_Leaf\Healthy_Leaf_1552.jpg
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Healthy_Leaf\Healthy_Leaf_1611.jpg
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Healthy_Leaf\Healthy_Leaf_1617.jpg
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Healthy_Leaf\Healthy_Leaf_775.jpg
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Healthy_Leaf\Healthy_Leaf_994.png
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Bacterial_Spot\Bacterial_Spot_593.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Bacterial_Spot\Bacterial_Spot_682.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Cercospora_Leaf_Spot\Cercospora Leaf Spot_1803.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Cercospora_Leaf_Spot\Cercospora Leaf Spot_1848.jpg
Chilli,Biotic,Abiotic,RAW_DATA\01_Chilli\biotic\Cercospora_Leaf_Spot\Cercospora Leaf Spot_1869.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_191.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_211.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_214.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_224.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_232.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_233.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_263.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_369.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_375.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_381.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_67.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_360.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_409.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_452.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_577.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_636.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_649.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_704.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_717.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Tomato healthy leaf\1 (90).jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_20.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_22.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_37.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_53.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_58.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_107.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_165.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_190.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_191.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_194.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_260.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_284.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_292.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_410.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_68.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_70.jpg
