Crop,Ground_Truth,Prediction,Path
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00301.JPG
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Nutrition_Deficiency\Nutrition Deficiency_571.jpg
Chilli,Abiotic,Biotic,RAW_DATA\01_Chilli\abiotic\Nutrition_Deficiency\Nutrition Deficiency_813.png
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_136.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_276.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_491.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_505.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_611.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_613.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_629.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_703.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_709.jpg
Tomato,Abiotic,Biotic,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_731.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_16.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_47.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_49.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_6.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_107.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_13.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_3.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_361.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_375.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_40.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_408.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_429.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_69.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_79.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_82.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_94.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Late Blight\Late Blight_25.jpg
Tomato,Biotic,Abiotic,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_169.jpg
