rel_path,crop,category,sub_type,label,split
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00001.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00002.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00003.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00004.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00005.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00006.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00007.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00008.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00009.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00010.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00011.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00012.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00013.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00014.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
